"id","first","last","team","g","gs","mp","pts","fga","fgm","fg%","3pa","3pm","3p%","fta","ftm","ft%","oreb","dreb","treb","ast","stl","blk","tov","pf","tot3"
"stevepanos_01","Steve","Panos","Egan",6,NA,NA,7.6,7,3.4,0.485714285714286,0.6,0.2,0.333333333333333,2.2,0.6,0.272727272727273,1.8,2.8,4.6,1,0,0,0.75,1.4,1
"masonsawyer_01","Mason","Sawyer","Egan",3,NA,NA,6.33333333333333,4.66666666666667,2.66666666666667,0.571428571428571,2,0,0,1.33333333333333,1,0.75,0.666666666666667,1.33333333333333,2,1.33333333333333,1.5,0,2,1,0
"drewlokeni_01","Drew","Lokeni","Egan",2,NA,NA,4,4,2,0.5,1,0,0,0,0,NA,0.5,6.5,7,0.5,1,0,0,2.5,0
"adamegan_01","Adam","Egan","Egan",9,NA,NA,11.25,12.125,4.75,0.391752577319588,3.75,0.75,0.2,1.125,1,0.888888888888889,0.75,3,3.75,5.75,0.833333333333333,0.142857142857143,2.75,1.875,6
"rexsunderland_01","Rex","Sunderland","Egan",6,NA,NA,8,8.5,3,0.352941176470588,4.5,1.16666666666667,0.259259259259259,0.833333333333333,0.833333333333333,1,0.666666666666667,3.5,4.16666666666667,3,2,0,1.33333333333333,1.66666666666667,7
"wilcarter_01","Wil","Carter","Egan",4,NA,NA,21.5,18.25,8.25,0.452054794520548,3.25,1.5,0.461538461538462,5,3.5,0.7,1.5,7,8.5,1.25,0,0.25,1.33333333333333,4,6
"tonyroberts_01","Tony","Roberts","Egan",7,NA,NA,14,15.8333333333333,6.16666666666667,0.389473684210526,5.83333333333333,1.16666666666667,0.2,0.5,0.5,1,1,4.16666666666667,5.16666666666667,2.83333333333333,0.8,0.2,1,1.5,7
"casdonjardine_01","Casdon","Jardine","Egan",9,NA,NA,26.125,20.5,9.875,0.481707317073171,10.25,3.875,0.378048780487805,3.625,2.5,0.689655172413793,0.625,4.375,5,1.5,1,0.428571428571429,1.25,2.625,31
"nickcovington_01","Nick","Covington","Covington",1,NA,NA,5,8,2,0.25,4,1,0.25,0,0,NA,1,6,7,3,0,0,2,1,1
"maceaaustin_01","Macea","Austin","Covington",5,NA,NA,7,5.2,2.4,0.461538461538462,3.6,1.8,0.5,0.4,0.4,1,0.6,1.6,2.2,1.2,0,0,0.5,1.4,9
"jaxonpollard_01","Jaxon","Pollard","Covington",6,NA,NA,13,12.6666666666667,4.66666666666667,0.368421052631579,6,1.5,0.25,3.33333333333333,2.16666666666667,0.65,2.66666666666667,5.33333333333333,8,3.5,2.5,0,1,2.66666666666667,9
"haydenfransen_01","Hayden","Fransen","Covington",4,NA,NA,13.5,11.25,5.5,0.488888888888889,3.75,1.5,0.4,2,1,0.5,1,4,5,3,1.75,0.5,3.66666666666667,2,6
"jaxonheiden_01","Jaxon","Heiden","Covington",4,NA,NA,5,3.25,2.25,0.692307692307692,0.25,0,0,0.5,0.5,1,3,2.75,5.75,1.25,0.5,0.666666666666667,0.5,1.5,0
"dwaynekoroma_01","Dwayne","Koroma","Covington",7,NA,NA,16.5714285714286,11.2857142857143,6.42857142857143,0.569620253164557,0,0,NA,5.28571428571429,3.71428571428571,0.702702702702703,1.71428571428571,4.28571428571429,6,2.57142857142857,1.75,0.8,2,2.57142857142857,0
"tysongarff_01","Tyson","Garff","Covington",5,NA,NA,11.6,9.8,4,0.408163265306122,6,2,0.333333333333333,2.4,1.6,0.666666666666667,0.8,3.6,4.4,2.2,1.33333333333333,0,1,1.4,10
"bradysmith_01","Brady","Smith","Covington",6,NA,NA,5.66666666666667,5.5,2.16666666666667,0.393939393939394,1.66666666666667,0.666666666666667,0.4,0.666666666666667,0.666666666666667,1,0.5,1.5,2,0.833333333333333,0.333333333333333,0,2,1.16666666666667,4
"jaredgarcia_01","Jared","Garcia","Covington",6,NA,NA,23.3333333333333,17.5,8.5,0.485714285714286,5.33333333333333,2.16666666666667,0.40625,5.5,4.16666666666667,0.757575757575758,2,4.16666666666667,6.16666666666667,0.833333333333333,0.25,2,2,3.33333333333333,13
"andremulibea_01","Andre","Mulibea","Covington",4,NA,NA,13,11.5,4.5,0.391304347826087,8.25,2.25,0.272727272727273,2.25,1.75,0.777777777777778,2,3,5,3.25,1,0,2,2.25,9
"zeusmartinez_01","Zeus","Martinez","Drisdom",8,NA,NA,7.875,6.875,3.625,0.527272727272727,2.25,0.625,0.277777777777778,0.375,0,0,1.85714285714286,3.42857142857143,5.28571428571429,2.57142857142857,0.666666666666667,0.142857142857143,1,2.25,5
"tresmith_01","Tre","Smith","Drisdom",7,NA,NA,5.71428571428571,6.28571428571429,2,0.318181818181818,5,1.57142857142857,0.314285714285714,0.285714285714286,0.142857142857143,0.5,1.16666666666667,3.5,4.66666666666667,3.83333333333333,0.4,0.166666666666667,0.75,2,11
"vaiharris_01","Vai","Harris","Drisdom",6,NA,NA,3.66666666666667,3.66666666666667,1.33333333333333,0.363636363636364,1.83333333333333,0.666666666666667,0.363636363636364,0.333333333333333,0.333333333333333,1,0.5,1.66666666666667,2.16666666666667,1.83333333333333,0,0,0.75,1.5,4
"aubreyhodges_01","Aubrey","Hodges","Drisdom",6,NA,NA,4.83333333333333,7.5,2,0.266666666666667,4,0.5,0.125,0.833333333333333,0.333333333333333,0.4,0.4,2.2,2.6,1.6,0.6,0,1.2,1.5,3
"brekottchapman_01","Brekott","Chapman","Drisdom",3,NA,NA,20.6666666666667,15,6.33333333333333,0.422222222222222,7.33333333333333,2,0.272727272727273,8,6.66666666666667,0.833333333333333,1.33333333333333,8.66666666666667,10,4,1,0.333333333333333,2.5,2,6
"dwaynebrown_01","Dwayne","Brown","Drisdom",9,NA,NA,32,21.125,12.375,0.585798816568047,6.375,2,0.313725490196078,6.375,5.25,0.823529411764706,3.28571428571429,7,10.2857142857143,2.71428571428571,1,0.714285714285714,2,2.625,16
"timdrisdom_01","Tim","Drisdom","Drisdom",6,NA,NA,12.5,11.3333333333333,4.66666666666667,0.411764705882353,8.66666666666667,2.83333333333333,0.326923076923077,0.666666666666667,0.333333333333333,0.5,0.5,3.5,4,5.5,0.4,0.166666666666667,1.8,3.5,17
"tyusjefferson_01","Tyus","Jefferson","Bullock",9,NA,NA,20.5,17.25,8.5,0.492753623188406,4,1,0.25,3.5,2.5,0.714285714285714,1.375,4.25,5.625,3.625,1,0.428571428571429,1.33333333333333,1.5,8
"ducezaid_01","Duce","Zaid","Bullock",10,NA,NA,5.66666666666667,5.33333333333333,2.33333333333333,0.4375,2.22222222222222,0.666666666666667,0.3,0.666666666666667,0.333333333333333,0.5,0.111111111111111,1.88888888888889,2,2.11111111111111,0.333333333333333,0,1,1.66666666666667,6
"charlesnann_01","Charles","Nann","Bullock",7,NA,NA,6.33333333333333,6.16666666666667,2.66666666666667,0.432432432432432,1.33333333333333,0.333333333333333,0.25,1.16666666666667,0.666666666666667,0.571428571428571,1.33333333333333,2.16666666666667,3.5,0.333333333333333,0.25,0,0.25,1.5,2
"kentrellbarkley_01","Kentrell","Barkley","Bullock",7,NA,NA,25.3333333333333,18,9.83333333333333,0.546296296296296,4,1.16666666666667,0.291666666666667,5.83333333333333,4.5,0.771428571428571,2.33333333333333,5.5,7.83333333333333,2.5,0,0.6,1.25,0.833333333333333,7
"kyndaylhill_01","Kyndayl","Hill","Bullock",9,NA,NA,9.625,10.625,3.5,0.329411764705882,2.25,0.75,0.333333333333333,3.125,1.875,0.6,2.25,3.5,5.75,1.5,0,0.5,1.2,1.875,6
"coltonburgon_01","Colton","Burgon","Bullock",8,NA,NA,7.57142857142857,8.28571428571429,3.14285714285714,0.379310344827586,0.428571428571429,0,0,1.85714285714286,1.28571428571429,0.692307692307692,2.57142857142857,4.71428571428571,7.28571428571429,0.857142857142857,0.8,0.166666666666667,0.6,3.71428571428571,0
